rpf_key,code,name,rpt_file,group,sql_len,legacy_tables
617,TFRM0090101,ฟอร์มเอกสารขอตัดชำรุด พร้อมรหัส Text Mode,TDOC00901.txt,TFRM,2025,ARPRICETAB DOCINFO
620,SQL12001076,รายงานสรุปใบขอตัดชำรุดสินค้า- ตามเอกสาร,IC120063.rpt,SQL,807,DOCINFO
621,FRM0090103,ใบขอตัดชำรุดสินค้า (Letter),DOC00903.rpt,FRM,2025,ARPRICETAB DOCINFO
622,FRM1120102,ใบรับสินค้าจากการผลิต แบบเส้นตาราง พร้อมรหัสสินค้า,DOC11202.RPT,FRM,0,
623,FRM1120101,ใบรับสินค้าจากการผลิต พร้อมรหัสสินค้า,DOC11201.RPT,FRM,0,
624,TFRM1120201,ใบรับสินค้าจากการผลิต Text Mode,TDOC11201.txt,TFRM,0,
625,SQL12001013,รายงานรายละเอียดใบรับจากการผลิต ตามเอกสาร,IC120013.rpt,SQL,1626,DOCINFO
629,SQL12001070,รายงานสรุปใบรับจากการผลิต - ตามเอกสาร,IC120063.rpt,SQL,807,DOCINFO
632,SQL12001052,รายงานสรุปรับสินค้าจากการผลิต ตามสินค้า,IC120052.rpt,SQL,1692,DOCINFO
633,SQL12001054,รายงานสรุปรับสินค้าจากการผลิต ตามหมวด,IC120054.rpt,SQL,1759,DOCINFO
634,SQL12001056,รายงานสรุปรับสินค้าจากการผลิต ตามโครงการ,IC120056.rpt,SQL,1726,DOCINFO
635,SQL12001051,รายงานรายละเอียดรับสินค้าจากการผลิต ตามโครงการ,IC120051.rpt,SQL,1726,DOCINFO
636,SQL12001016,รายงานรายละเอียดรับสินค้าจากการผลิต ตามหมวด,IC120016.rpt,SQL,1759,DOCINFO
